County Code,District Code,Subgroup ID,Grade,Test Id,CAASPP Reported Enrollment,Students Tested,Mean Scale Score,Percentage Standard Exceeded,Percentage Standard Met,Percentage Standard Met and Above,Percentage Standard Nearly Met,Percentage Standard Not Met,Students with Scores
1,61150,74,4,1,26.0,24.0,2505.5,41.67,20.83,62.5,16.67,20.83,24.0
1,61150,74,5,2,37.0,37.0,2444.6,8.11,16.22,24.32,29.73,45.95,37.0
1,61150,74,5,1,37.0,37.0,2456.5,13.51,21.62,35.14,18.92,45.95,37.0
1,61150,74,6,2,42.0,42.0,2509.0,7.14,21.43,28.57,35.71,35.71,42.0
1,61150,74,6,1,42.0,42.0,2525.4,9.52,38.1,47.62,28.57,23.81,42.0
1,61150,74,7,2,45.0,44.0,2521.8,15.91,18.18,34.09,27.27,38.64,44.0
1,61150,74,7,1,45.0,44.0,2541.3,20.45,15.91,36.36,43.18,20.45,44.0
1,61150,74,8,2,44.0,42.0,2531.2,14.29,16.67,30.95,21.43,47.62,42.0
1,61150,74,8,1,44.0,43.0,2541.7,9.76,26.83,36.59,39.02,24.39,41.0
1,61150,74,11,1,64.0,51.0,2545.4,15.69,19.61,35.29,33.33,31.37,51.0
1,61150,74,11,2,64.0,52.0,2541.5,3.85,19.23,23.08,28.85,48.08,52.0
1,61150,77,3,2,24.0,24.0,2481.0,50.0,20.83,70.83,20.83,8.33,24.0
1,61150,77,3,1,24.0,24.0,2464.3,45.83,16.67,62.5,16.67,20.83,24.0
1,61150,77,4,1,19.0,18.0,2488.2,44.44,16.67,61.11,16.67,22.22,18.0
1,61150,77,4,2,19.0,18.0,2506.6,33.33,22.22,55.56,44.44,0.0,18.0
1,61150,77,5,1,27.0,26.0,2526.2,23.08,50.0,73.08,7.69,19.23,26.0
1,61150,77,5,2,27.0,26.0,2542.0,23.08,34.62,57.69,38.46,3.85,26.0
1,61150,77,6,2,28.0,27.0,2569.3,25.93,40.74,66.67,18.52,14.81,27.0
1,61150,77,6,1,28.0,27.0,2587.4,25.93,51.85,77.78,18.52,3.7,27.0
1,61150,77,7,1,23.0,23.0,2602.5,26.09,43.48,69.57,26.09,4.35,23.0
1,61150,77,7,2,23.0,23.0,2598.0,34.78,21.74,56.52,34.78,8.7,23.0
1,61150,77,8,1,21.0,21.0,2604.2,28.57,28.57,57.14,33.33,9.52,21.0
1,61150,77,8,2,21.0,21.0,2596.0,38.1,19.05,57.14,23.81,19.05,21.0
1,61150,77,11,2,26.0,25.0,2612.8,16.0,28.0,44.0,32.0,24.0,25.0
1,61150,77,11,1,26.0,25.0,2631.6,28.0,48.0,76.0,16.0,8.0,25.0
1,61150,78,3,1,153.0,151.0,2432.6,27.81,21.85,49.67,31.13,19.21,151.0
1,61150,78,3,2,153.0,151.0,2448.0,24.5,32.45,56.95,24.5,18.54,151.0
1,61150,78,4,1,162.0,160.0,2473.3,26.25,24.38,50.63,21.88,27.5,160.0
1,61150,78,4,2,162.0,160.0,2490.0,21.88,34.38,56.25,27.5,16.25,160.0
1,61150,78,5,2,192.0,190.0,2501.2,22.11,20.0,42.11,30.53,27.37,190.0
1,61150,78,5,1,192.0,191.0,2496.7,17.28,34.03,51.31,19.37,29.32,191.0
1,61150,78,6,1,158.0,158.0,2531.1,15.38,37.18,52.56,26.28,21.15,156.0
1,61150,78,6,2,158.0,158.0,2510.9,15.92,27.39,43.31,26.75,29.94,157.0
1,61150,78,7,2,164.0,160.0,2530.7,14.38,24.38,38.75,31.88,29.38,160.0
1,61150,78,7,1,164.0,161.0,2554.0,11.18,38.51,49.69,31.06,19.25,161.0
1,61150,78,8,2,176.0,173.0,2543.0,20.23,16.76,36.99,23.7,39.31,173.0
1,61150,78,8,1,176.0,173.0,2560.8,13.29,34.1,47.4,31.79,20.81,173.0
1,61150,78,11,2,173.0,160.0,2546.1,7.5,16.88,24.38,28.13,47.5,160.0
1,61150,78,11,1,173.0,165.0,2574.9,16.46,33.54,50.0,28.05,21.95,164.0
1,61150,80,3,2,189.0,188.0,2480.0,44.15,30.85,75.0,14.89,10.11,188.0
1,61150,80,3,1,189.0,188.0,2464.3,42.02,25.53,67.55,18.62,13.83,188.0
1,61150,80,4,2,187.0,185.0,2535.7,43.48,32.61,76.09,17.93,5.98,184.0
1,61150,80,4,1,187.0,185.0,2523.7,48.65,25.41,74.05,17.3,8.65,185.0
1,61150,80,5,1,214.0,210.0,2545.7,35.24,36.19,71.43,15.24,13.33,210.0
1,61150,80,5,2,214.0,209.0,2551.0,40.67,22.49,63.16,23.92,12.92,209.0
1,61150,80,6,2,230.0,227.0,2563.5,28.19,28.19,56.39,30.4,13.22,227.0
1,61150,80,6,1,230.0,227.0,2567.7,25.11,44.05,69.16,22.03,8.81,227.0
1,61150,80,7,2,202.0,195.0,2578.2,32.82,25.13,57.95,23.08,18.97,195.0
1,61150,80,7,1,202.0,196.0,2588.0,24.49,45.92,70.41,16.33,13.27,196.0
1,61150,80,8,2,224.0,217.0,2597.9,36.87,18.43,55.3,18.89,25.81,217.0
1,61150,80,8,1,224.0,217.0,2596.4,21.2,41.94,63.13,25.81,11.06,217.0
1,61150,80,11,1,207.0,196.0,2632.4,36.22,32.14,68.37,19.39,12.24,196.0
1,61150,80,11,2,207.0,193.0,2616.2,22.92,25.0,47.92,27.08,25.0,192.0
1,61150,144,3,1,93.0,90.0,2476.6,42.22,31.11,73.33,21.11,5.56,90.0
1,61150,144,3,2,93.0,89.0,2487.1,40.45,38.2,78.65,17.98,3.37,89.0
1,61150,144,4,1,79.0,78.0,2517.1,47.44,32.05,79.49,7.69,12.82,78.0
1,61150,144,4,2,79.0,77.0,2527.6,44.16,29.87,74.03,16.88,9.09,77.0
1,61150,144,5,2,61.0,59.0,2563.5,49.15,25.42,74.58,15.25,10.17,59.0
1,61150,144,5,1,61.0,59.0,2568.2,47.46,32.2,79.66,8.47,11.86,59.0
1,61150,144,6,2,65.0,64.0,2575.7,34.38,31.25,65.63,21.88,12.5,64.0
