,District Code,Agency Name,Black,Hispanic,White,Asian or Pacific Islander,American Indian/Alaska Native,Hawaiian Native/Pacific Islander,Two or More Races,Total Enrollment,Total Revenue,Revenue per student
82,62703,BLUE LAKE UNION ELEMENTARY,1.0,20.0,95.0,0.0,13.0,0.0,40.0,169.0,1730000.0,10236.69
83,70193,BOGUS ELEMENTARY,0.0,0.0,14.0,0.0,0.0,0.0,6.0,20.0,212000.0,10600.0
84,65300,BOLINAS-STINSON UNION,1.0,20.0,52.0,2.0,0.0,0.0,10.0,85.0,1733000.0,20388.24
85,64329,BONITA UNIFIED,313.0,5202.0,2976.0,830.0,23.0,17.0,866.0,10227.0,96722000.0,9457.51
86,69732,BONNY DOON UNION ELEMENTARY,0.0,5.0,152.0,3.0,2.0,0.0,1.0,163.0,744000.0,4564.42
87,76851,BONSALL UNIFIED,56.0,932.0,1360.0,135.0,153.0,11.0,212.0,2859.0,19562000.0,6842.25
88,67983,BORREGO SPRINGS UNIFIED,34.0,704.0,113.0,6.0,4.0,5.0,20.0,886.0,11453000.0,12926.64
89,65979,BRADLEY UNION ELEMENTARY,3.0,53.0,131.0,6.0,5.0,0.0,16.0,214.0,984000.0,4598.13
90,63073,BRAWLEY ELEMENTARY,34.0,3794.0,143.0,16.0,1.0,1.0,3.0,3992.0,48581000.0,12169.59
91,63081,BRAWLEY UNION HIGH,21.0,1650.0,152.0,15.0,1.0,2.0,5.0,1846.0,23161000.0,12546.59
92,66449,BREA-OLINDA UNIFIED,96.0,2150.0,1972.0,1477.0,10.0,26.0,178.0,5909.0,33795000.0,5719.24
93,61655,BRENTWOOD UNION ELEMENTARY,639.0,2719.0,3812.0,983.0,29.0,59.0,676.0,8917.0,75006000.0,8411.57
94,61556,BRET HARTE UNION HIGH,0.0,138.0,497.0,13.0,10.0,0.0,38.0,696.0,2958000.0,4250.0
95,62729,BRIDGEVILLE ELEMENTARY,0.0,2.0,20.0,0.0,0.0,0.0,3.0,25.0,523000.0,20920.0
96,72447,BRIGGS ELEMENTARY,0.0,513.0,26.0,0.0,0.0,0.0,3.0,542.0,5731000.0,10573.8
97,68874,BRISBANE ELEMENTARY,8.0,148.0,134.0,133.0,0.0,4.0,37.0,464.0,2951000.0,6359.91
98,71357,BRITTAN ELEMENTARY,0.0,102.0,309.0,0.0,5.0,0.0,50.0,466.0,3881000.0,8328.33
99,71365,BROWNS ELEMENTARY,1.0,63.0,73.0,5.0,0.0,1.0,9.0,152.0,1232000.0,8105.26
100,61838,BUCKEYE UNION ELEMENTARY,47.0,742.0,3599.0,453.0,14.0,16.0,345.0,5216.0,38112000.0,7306.75
101,69138,BUELLTON UNION ELEMENTARY,4.0,268.0,294.0,8.0,4.0,0.0,36.0,614.0,7414000.0,12074.92
102,66456,BUENA PARK ELEMENTARY,218.0,3197.0,341.0,928.0,17.0,25.0,111.0,4837.0,51063000.0,10556.75
103,71829,BUENA VISTA ELEMENTARY,4.0,139.0,63.0,0.0,0.0,0.0,3.0,209.0,2170000.0,10382.78
104,64337,BURBANK UNIFIED,418.0,5891.0,7373.0,1458.0,57.0,16.0,886.0,16099.0,135169000.0,8396.11
105,68882,BURLINGAME ELEMENTARY,22.0,506.0,1775.0,791.0,6.0,14.0,296.0,3410.0,24896000.0,7300.88
106,71662,BURNT RANCH ELEMENTARY,4.0,20.0,33.0,2.0,32.0,0.0,5.0,96.0,1252000.0,13041.67
107,62042,BURREL UNION ELEMENTARY,0.0,100.0,9.0,3.0,0.0,0.0,0.0,112.0,1311000.0,11705.36
108,71837,BURTON ELEMENTARY,33.0,3305.0,1007.0,241.0,61.0,8.0,26.0,4681.0,52935000.0,11308.48
109,10041,BUTTE COUNTY OFFICE OF EDUCATION,19.0,216.0,828.0,18.0,31.0,3.0,97.0,1212.0,83743000.0,69094.88
110,73684,BUTTE VALLEY UNIFIED,0.0,146.0,139.0,4.0,13.0,0.0,6.0,308.0,3771000.0,12243.51
111,70201,BUTTEVILLE UNION ELEMENTARY,0.0,30.0,1.0,0.0,0.0,0.0,180.0,211.0,1936000.0,9175.36
