Agency Name,State Name [District] Latest available year,Grade 10 Students - American Indian/Alaska Native [District] 2016-17,Grade 10 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 10 Students - Hispanic [District] 2016-17,Grade 10 Students - Black [District] 2016-17,Grade 10 Students - White [District] 2016-17,Grade 10 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 10 Students - Two or More Races [District] 2016-17,Grade 11 Students - American Indian/Alaska Native [District] 2016-17,Grade 11 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 11 Students - Hispanic [District] 2016-17,Grade 11 Students - Black [District] 2016-17,Grade 11 Students - White [District] 2016-17,Grade 11 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 11 Students - Two or More Races [District] 2016-17,Grade 12 Students - American Indian/Alaska Native [District] 2016-17,Grade 12 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 12 Students - Hispanic [District] 2016-17,Grade 12 Students - Black [District] 2016-17,Grade 12 Students - White [District] 2016-17,Grade 12 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 12 Students - Two or More Races [District] 2016-17
CORNING UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CORNING UNION HIGH,California,5,1,126,–,87,–,17,2,3,137,3,95,–,8,1,1,108,3,89,–,6
CORONA-NORCO UNIFIED,California,21,455,2210,320,1195,13,87,6,544,2228,308,1196,19,48,11,481,2283,301,1190,19,65
CORONADO UNIFIED,California,2,19,65,4,211,–,12,2,16,65,3,215,4,12,2,15,54,8,205,1,4
COTATI-ROHNERT PARK UNIFIED,California,5,24,223,14,292,1,19,5,27,187,16,248,3,32,2,30,169,10,241,3,24
COTTONWOOD UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
COVINA-VALLEY UNIFIED,California,1,90,770,27,115,2,64,3,92,817,27,167,5,66,4,101,799,43,140,3,61
CUCAMONGA ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CUDDEBACK UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CULVER CITY UNIFIED,California,3,61,222,107,145,1,22,5,67,196,107,132,4,14,1,66,223,111,123,2,9
CUPERTINO UNION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CURTIS CREEK ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CUTLER-OROSI JOINT UNIFIED,California,–,13,258,1,5,–,–,–,12,294,–,8,–,2,–,9,275,–,7,–,–
CUTTEN ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CUYAMA JOINT UNIFIED,California,–,–,11,–,7,–,–,–,–,15,–,4,–,–,1,–,14,–,1,–,–
CYPRESS ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
DAVIS JOINT UNIFIED,California,1,124,119,30,400,2,31,3,138,127,20,398,2,37,3,127,116,14,421,–,26
DEATH VALLEY UNIFIED,California,–,–,2,–,2,–,–,–,–,1,–,–,–,–,–,–,–,–,4,–,–
DEHESA ELEMENTARY,California,4,14,261,54,162,3,33,5,21,310,62,150,1,43,2,14,172,28,94,1,20
DEL MAR UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
DEL NORTE COUNTY OFFICE OF EDUCATION,California,10,1,8,1,35,–,2,14,2,12,2,57,–,3,19,5,31,2,50,2,10
DEL NORTE COUNTY ROP,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEL NORTE COUNTY UNIFIED,California,32,19,58,5,122,1,6,26,15,55,3,136,1,7,31,11,50,5,136,–,3
DELANO JOINT UNION HIGH,California,–,122,920,8,13,–,3,–,121,889,2,12,1,4,–,133,754,8,17,1,6
DELANO UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
DELHI UNIFIED,California,–,11,157,1,10,–,1,–,9,181,–,18,1,1,–,7,172,3,15,–,1
DELPHIC ELEMENTARY,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENAIR UNIFIED,California,1,–,40,1,42,–,4,–,–,64,–,66,1,8,1,–,81,1,84,–,6
DESERT CENTER UNIFIED,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
DESERT SANDS UNIFIED,California,9,70,1843,48,493,5,26,13,89,1594,47,478,1,20,9,76,1707,54,529,3,26
DI GIORGIO ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
DINUBA UNIFIED,California,2,9,517,2,31,–,–,5,8,483,–,25,–,1,2,10,475,4,21,1,–
DIXIE ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
DIXON UNIFIED,California,2,12,176,7,96,3,12,2,10,141,3,127,–,8,2,3,169,7,117,1,12
DOS PALOS ORO LOMA JOINT UNIFIED,California,2,1,151,4,35,–,–,1,–,141,5,43,–,2,–,1,137,4,31,–,–
DOUGLAS CITY ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
DOWNEY UNIFIED,California,7,58,1795,60,96,5,7,2,63,1791,65,106,3,5,7,52,1894,59,119,9,8
DRY CREEK JOINT ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
DUARTE UNIFIED,California,5,16,193,10,44,–,37,4,21,215,10,43,–,33,3,25,227,14,38,–,30
DUBLIN UNIFIED,California,–,307,97,33,183,4,61,1,235,83,30,171,1,53,1,206,90,28,160,2,49
DUCOR UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
DUNHAM ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
DUNSMUIR ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
DUNSMUIR JOINT UNION HIGH,California,–,–,2,–,8,–,3,1,–,5,1,9,–,1,1,–,4,1,8,–,1
DURHAM UNIFIED,California,1,–,15,–,51,–,4,–,–,10,1,55,–,1,4,–,13,–,61,–,1
EARLIMART ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
EAST MERCED COUNTY PUBLIC FACILITIES FINANCING AUTHORITY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
EAST NICOLAUS JOINT UNION HIGH,California,–,2,22,2,58,1,2,1,3,24,–,47,1,2,1,2,12,–,43,–,2
EAST SAN GABRIEL VALLEY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
EAST SAN GABRIEL VALLEY ROP,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EAST SIDE UNION HIGH,California,18,2546,3264,164,352,28,119,19,2760,3090,153,375,30,97,3,2449,3406,182,356,31,122
EAST VALLEY SCHOOL TRANSPORTATION JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
EAST WHITTIER CITY ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
EASTERN SIERRA UNIFIED,California,3,–,11,–,12,–,–,3,1,6,–,11,–,–,2,–,8,–,12,–,–
EASTSIDE UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
EDEN AREA ROP,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDEN AREA ROP JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
EDISON ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
EL CENTRO ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
EL DORADO COUNTY OFFICE OF EDUCATION,California,4,–,35,9,78,–,6,4,1,31,2,79,1,4,4,–,55,18,100,1,11
EL DORADO UNION HIGH,California,20,100,251,21,1160,4,85,14,80,253,18,1187,1,90,14,99,202,22,1263,7,86
EL MONTE CITY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
EL MONTE UNION HIGH,California,2,466,1730,6,30,4,2,1,538,1729,5,29,–,8,–,477,1654,10,42,–,11
EL NIDO ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
EL RANCHO UNIFIED,California,–,9,687,–,2,–,1,–,–,688,–,12,–,–,1,4,693,2,6,–,–
EL SEGUNDO UNIFIED,California,1,24,77,25,161,–,31,1,25,65,13,153,2,28,1,32,72,15,150,2,34
EL TEJON UNIFIED,California,1,1,25,1,22,–,5,3,4,31,–,35,1,4,2,1,26,–,42,1,4
ELK GROVE UNIFIED,California,23,1438,1260,679,1007,73,361,28,1443,1260,709,1001,84,342,21,1428,1274,742,1042,73,345
ELK HILLS ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ELKINS ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ELVERTA JOINT ELEMENTARY,California,–,–,4,2,1,–,3,–,–,3,1,2,–,–,–,2,3,3,2,–,1
EMERY UNIFIED,California,–,4,12,26,4,–,1,–,7,6,20,4,1,3,–,6,4,20,3,–,2
EMPIRE UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ENCINITAS UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ENTERPRISE ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ESCALON UNIFIED,California,–,3,99,–,85,–,4,–,7,105,3,94,–,3,–,7,108,2,125,–,4
ESCONDIDO UNION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ESCONDIDO UNION HIGH,California,2,124,1487,66,645,9,64,8,124,1512,51,655,7,43,6,120,1459,50,670,4,46
ESPARTO UNIFIED,California,–,1,40,–,10,–,–,1,1,61,1,26,–,–,1,–,51,1,18,–,1
ETIWANDA ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
EUREKA CITY SCHOOLS,California,15,28,59,9,188,3,24,13,41,52,3,148,1,15,18,29,54,9,178,3,17
EUREKA UNION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
EVERGREEN ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
EVERGREEN UNION,California,–,–,1,–,5,–,–,–,–,2,–,3,–,1,1,–,1,–,8,–,–
EXETER UNIFIED,California,–,6,136,4,117,1,2,2,2,142,2,119,–,6,2,1,120,3,107,1,4
FAIRFAX ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
FAIRFIELD-SUISUN UNIFIED,California,10,266,632,284,270,16,114,11,270,616,281,314,22,115,11,244,576,293,269,21,97
FALL RIVER JOINT UNIFIED,California,9,–,23,–,49,–,5,10,1,20,–,55,–,5,12,1,13,–,42,–,5
FALLBROOK UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
FALLBROOK UNION HIGH,California,8,7,403,11,152,2,11,3,6,268,10,136,4,5,3,9,266,8,175,–,10
FARMERSVILLE UNIFIED,California,2,–,182,–,10,–,–,–,1,190,3,9,–,–,–,–,186,1,4,1,–
FEATHER FALLS UNION ELEMENTARY,California,4,–,4,1,2,–,3,6,–,2,–,3,–,2,3,–,3,2,3,–,–
FERNDALE UNIFIED,California,1,–,8,–,26,–,–,1,–,5,–,33,–,–,–,1,5,–,31,–,–
FIELDBROOK ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
FILLMORE UNIFIED,California,1,–,253,–,28,–,–,3,–,234,–,24,–,2,1,1,228,–,27,–,1
FIREBAUGH-LAS DELTAS UNIFIED,California,–,–,161,–,10,–,–,–,–,155,–,13,–,–,–,–,159,1,7,–,–
FLOURNOY UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
FOLSOM-CORDOVA UNIFIED,California,9,221,280,93,887,11,66,8,233,290,96,859,7,61,6,201,256,97,855,13,49
FONTANA UNIFIED,California,6,77,2528,202,132,7,22,6,89,2584,224,124,15,21,7,82,2642,195,164,5,25
FORESTHILL UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
FORESTVILLE UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
FORKS OF SALMON ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
FORT BRAGG UNIFIED,California,–,2,48,1,66,–,8,3,2,76,2,65,–,5,2,2,43,1,65,–,8
FORT ROSS ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
FORT SAGE UNIFIED,California,–,–,3,–,21,2,–,2,–,5,1,25,–,1,2,–,6,1,21,1,–
FORTUNA ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
FORTUNA UNION HIGH,California,8,4,80,2,180,–,29,10,5,59,–,160,1,21,19,6,70,1,150,–,19
FORTY-NINER ROP,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOUNTAIN VALLEY ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
FOWLER UNIFIED,California,–,25,162,4,18,–,–,1,14,160,1,16,–,2,–,20,142,5,22,–,–
FRANKLIN ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
FRANKLIN-MCKINLEY ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
FREMONT UNIFIED,California,4,1610,327,57,375,21,63,9,1650,386,83,448,10,52,6,1471,398,91,455,29,29
FREMONT UNION HIGH,California,2,1615,419,24,481,7,146,4,1676,399,22,505,5,134,1,1531,381,28,492,12,152
FRENCH GULCH-WHISKEYTOWN ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
FRESHWATER ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
FRESNO COUNTY OFFICE OF EDUCATION,California,7,7,294,38,49,–,10,2,6,303,28,65,–,7,2,9,123,26,42,1,6
FRESNO ROP,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRESNO UNIFIED,California,35,647,3270,427,518,21,61,21,612,3062,448,505,22,67,27,612,3103,454,547,22,47
FRUITVALE ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
FULLERTON ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
FULLERTON JOINT UNION HIGH,California,6,778,1909,81,562,8,82,6,819,1996,77,619,13,86,7,716,1893,87,640,13,73
GALT JOINT UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
GALT JOINT UNION HIGH,California,–,4,313,7,201,1,36,–,9,315,7,211,5,16,4,8,298,11,175,1,30
GARDEN GROVE UNIFIED,California,3,1350,1878,21,269,19,36,4,1449,1839,26,331,15,49,3,1399,1827,23,339,25,32
GARFIELD ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
GARVEY ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
GATEWAY UNIFIED,California,17,2,28,3,135,2,8,13,5,32,4,173,–,7,14,6,31,6,144,1,3
GAZELLE UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
GENERAL SHAFTER ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
GERBER UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
GEYSERVILLE UNIFIED,California,–,–,7,–,8,–,1,–,–,10,–,9,–,–,–,1,11,–,6,–,–
GILROY UNIFIED,California,6,63,673,13,203,2,29,9,72,604,14,187,1,34,8,58,650,18,216,2,28
GLENDALE UNIFIED,California,6,385,416,16,1091,1,21,1,408,446,23,1136,2,22,3,380,517,24,1152,2,14
GLENDORA UNIFIED,California,–,67,272,3,271,3,19,1,69,305,11,337,2,21,1,67,244,10,301,2,22
GLENN COUNTY OFFICE OF EDUCATION,California,1,–,6,–,9,–,1,–,–,11,–,20,–,–,5,2,103,27,25,2,4
GLENN COUNTY ROP,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOLD OAK UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
GOLD TRAIL UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
GOLDEN FEATHER UNION ELEMENTARY,California,–,–,5,–,11,–,1,–,1,–,–,17,–,3,–,–,3,–,10,–,–
GOLDEN PLAINS UNIFIED,California,–,–,119,–,2,–,–,–,–,102,–,–,–,–,–,–,94,–,4,–,–
GOLDEN VALLEY UNIFIED,California,1,4,70,3,89,–,2,2,4,54,6,83,–,1,1,3,59,2,86,–,3
GOLETA UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
GONZALES UNIFIED,California,2,1,188,–,4,–,–,1,2,208,1,5,–,1,–,–,175,1,7,1,–
GORMAN JOINT,California,–,12,76,9,96,–,21,2,4,70,15,136,1,15,–,9,64,5,111,1,17
GRANT ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
GRASS VALLEY ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
GRATTON ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
GRAVENSTEIN UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
GRAVES ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
GREATER ANAHEIM SELPA JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
GREEN POINT ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
GREENFIELD UNION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
GREENFIELD UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
GRENADA ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
GRIDLEY UNIFIED,California,2,3,103,–,67,–,5,–,3,81,–,52,1,5,1,5,88,1,50,1,3
GROSSMONT UNION HIGH,California,32,211,2155,354,2186,24,375,32,196,1885,401,2320,25,389,35,225,2186,377,2606,26,421
GUADALUPE UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
GUERNEVILLE ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
GUSTINE UNIFIED,California,1,4,133,1,29,1,1,–,4,108,1,39,–,–,–,3,116,–,30,–,–
HACIENDA LA PUENTE UNIFIED,California,1,200,1153,19,51,5,8,2,242,1223,20,52,4,18,1,250,1190,23,55,5,5
HAMILTON UNIFIED,California,–,1,69,–,13,–,8,1,1,61,–,9,–,7,–,1,45,–,14,–,3
HANFORD ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
HANFORD JOINT UNION HIGH,California,4,31,640,44,227,–,17,4,23,555,52,241,1,8,3,30,566,53,270,1,3
HAPPY CAMP UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
HAPPY VALLEY ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
HAPPY VALLEY UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
HARMONY UNION ELEMENTARY,California,–,2,13,4,22,1,4,–,2,26,1,22,–,4,1,5,20,1,16,–,3
HART ROP,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HART-RANSOM UNION ELEMENTARY,California,–,–,5,1,9,–,–,–,–,5,1,7,–,–,–,–,3,–,14,–,–
HAWTHORNE,California,–,21,89,20,5,1,–,–,15,105,15,7,–,–,–,11,98,11,9,1,2
HAYWARD UNIFIED,California,3,266,1001,146,87,51,39,2,273,1013,154,98,53,24,5,277,998,168,108,54,30
HEALDSBURG UNIFIED,California,–,1,92,1,61,1,–,2,6,82,3,70,–,3,2,3,87,1,56,–,1
HEBER ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
HELENDALE ELEMENTARY,California,2,4,183,38,82,1,16,2,1,168,21,70,2,17,–,3,49,9,50,–,3
HEMET UNIFIED,California,19,42,967,129,520,7,43,15,46,990,151,509,4,51,14,50,971,180,569,16,69
HERMOSA BEACH CITY ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
HESPERIA UNIFIED,California,9,37,1305,133,425,6,137,9,35,1185,135,418,5,126,11,42,1334,139,466,7,104
HICKMAN COMMUNITY CHARTER,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
HILLSBOROUGH CITY ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
HILMAR UNIFIED,California,3,2,73,2,97,–,1,–,1,77,–,88,1,2,1,1,59,–,114,–,1
HOLLISTER,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
HOLTVILLE UNIFIED,California,–,1,126,–,24,–,6,–,–,120,–,17,–,4,–,1,123,1,19,–,–
HOPE ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
HOPE ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
HORICON ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
HORNBROOK ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
HOT SPRINGS ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
HOWELL MOUNTAIN ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
HUENEME ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
HUGHES-ELIZABETH LAKES UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
HUGHSON UNIFIED,California,1,2,101,–,79,–,2,1,1,79,1,72,–,3,–,2,91,–,99,–,2
HUMBOLDT COUNTY OFFICE OF EDUCATION,California,4,1,11,2,59,1,5,2,3,7,1,44,–,1,3,–,14,1,87,–,14
HUMBOLDT COUNTY ROP,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUNTINGTON BEACH CITY ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
HUNTINGTON BEACH UNION HIGH,California,14,1095,1116,32,1560,27,139,30,1185,1144,47,1594,26,97,161,1078,1088,56,1534,28,117
HYDESVILLE ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
IGO ONO PLATINA UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
IMPERIAL COUNTY OFFICE OF EDUCATION,California,–,–,81,2,3,–,1,–,1,85,–,1,–,–,–,–,116,1,6,–,4
IMPERIAL UNIFIED,California,3,6,261,4,53,–,2,–,4,246,3,46,–,4,–,8,214,6,44,–,–
IMPERIAL VALLEY ROP,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPERIAL VALLEY ROP JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
INDIAN DIGGINGS ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
INDIAN SPRINGS ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
INGLEWOOD UNIFIED,California,4,1,484,195,3,2,3,1,7,464,222,2,2,3,5,5,466,186,2,3,4
INYO COUNTY CAREER TECHNICAL EDUCATION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
INYO COUNTY OFFICE OF EDUCATION,California,1,3,264,49,10,–,8,4,1,326,64,12,2,10,2,2,734,142,20,2,10
IRVINE UNIFIED,California,5,1278,240,57,785,8,106,12,1248,245,67,824,11,98,4,1107,239,44,882,3,101
ISLAND UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
JACOBY CREEK ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
JAMESTOWN ELEMENTARY,California,–,1,5,2,9,–,3,–,–,11,1,13,1,–,–,1,8,1,12,–,3
JAMUL-DULZURA UNION ELEMENTARY,California,–,1,6,–,8,–,1,–,–,8,–,4,–,2,–,2,7,1,6,–,1
JANESVILLE UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
JEFFERSON ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
JEFFERSON ELEMENTARY,California,1,14,19,10,43,–,10,1,17,34,5,51,1,9,–,8,29,4,50,2,10
JEFFERSON ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
JEFFERSON UNION HIGH,California,4,528,336,28,175,9,109,3,611,367,28,204,13,100,–,532,330,23,159,17,90
JOHN SWETT UNIFIED,California,1,37,45,30,25,1,12,–,36,47,24,26,3,13,–,27,38,33,38,–,18
JOHNSTONVILLE ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
JULIAN UNION ELEMENTARY,California,10,9,141,12,184,4,26,5,7,152,26,191,1,36,3,3,85,5,138,–,22
