Agency Name,State Name [District] Latest available year,Grade 6 Students - American Indian/Alaska Native [District] 2016-17,Grade 6 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 6 Students - Hispanic [District] 2016-17,Grade 6 Students - Black [District] 2016-17,Grade 6 Students - White [District] 2016-17,Grade 6 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 6 Students - Two or More Races [District] 2016-17,Grade 7 Students - American Indian/Alaska Native [District] 2016-17,Grade 7 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 7 Students - Hispanic [District] 2016-17,Grade 7 Students - Black [District] 2016-17,Grade 7 Students - White [District] 2016-17,Grade 7 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 7 Students - Two or More Races [District] 2016-17,Grade 8 Students - American Indian/Alaska Native [District] 2016-17,Grade 8 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 8 Students - Hispanic [District] 2016-17,Grade 8 Students - Black [District] 2016-17,Grade 8 Students - White [District] 2016-17,Grade 8 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 8 Students - Two or More Races [District] 2016-17,Grade 9 Students - American Indian/Alaska Native [District] 2016-17,Grade 9 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 9 Students - Hispanic [District] 2016-17,Grade 9 Students - Black [District] 2016-17,Grade 9 Students - White [District] 2016-17,Grade 9 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 9 Students - Two or More Races [District] 2016-17
MARIPOSA COUNTY OFFICE OF EDUCATION,California,–,–,–,–,2,–,–,–,–,–,–,4,–,–,–,–,–,–,3,–,–,–,–,1,–,3,–,–
MARIPOSA COUNTY UNIFIED,California,4,3,34,–,95,–,12,11,2,11,1,95,–,10,2,–,25,2,93,–,18,5,3,28,–,97,–,12
MARK TWAIN UNION ELEMENTARY,California,3,2,18,1,77,–,3,–,2,17,–,62,–,2,1,1,22,–,62,–,2,†,†,†,†,†,†,†
MARK WEST UNION ELEMENTARY,California,1,7,53,–,113,2,14,2,1,30,–,26,–,5,4,3,15,2,31,–,2,†,†,†,†,†,†,†
MARTINEZ UNIFIED,California,–,19,98,7,156,1,43,–,24,114,8,160,2,54,–,26,94,9,160,2,38,2,25,90,9,158,2,31
MARYSVILLE JOINT UNIFIED,California,19,73,331,35,314,6,46,20,66,331,22,261,1,32,30,83,295,32,268,3,33,30,65,304,25,258,7,15
MATTOLE UNIFIED,California,2,–,6,–,50,–,6,1,–,4,–,30,–,4,1,–,4,1,24,–,6,1,–,4,–,19,–,5
MAXWELL UNIFIED,California,1,–,8,–,10,1,–,–,–,15,–,11,–,–,–,–,10,–,8,–,–,–,–,15,–,8,–,–
MCCABE UNION ELEMENTARY,California,–,7,138,–,25,–,–,–,6,142,–,22,–,–,–,2,115,–,19,1,–,†,†,†,†,†,†,†
MCCLOUD UNION ELEMENTARY,California,–,–,–,–,7,–,–,–,–,1,–,5,–,–,–,–,–,–,4,–,4,†,†,†,†,†,†,†
MCFARLAND UNIFIED,California,–,2,283,3,2,–,–,–,1,249,–,3,–,–,–,1,246,1,2,–,–,–,5,266,1,2,–,–
MCKINLEYVILLE UNION ELEMENTARY,California,8,–,16,4,78,–,13,15,2,15,–,89,1,15,8,2,20,1,66,1,12,†,†,†,†,†,†,†
MCKITTRICK ELEMENTARY,California,–,–,1,–,7,–,1,1,–,–,–,7,–,–,–,–,–,–,8,–,–,†,†,†,†,†,†,†
MCSWAIN UNION ELEMENTARY,California,1,7,41,1,51,1,4,–,6,39,–,48,–,4,–,6,48,–,44,–,1,†,†,†,†,†,†,†
MEADOWS UNION ELEMENTARY,California,–,–,51,–,12,–,–,–,–,45,–,7,–,1,–,–,57,1,1,1,–,†,†,†,†,†,†,†
MENDOCINO COUNTY OFFICE OF EDUCATION,California,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",–,–,1,–,1,–,–,1,–,3,–,3,–,–
MENDOCINO COUNTY ROC/ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",="0",="0",="0",="0",="0",="0"
MENDOCINO UNIFIED,California,–,1,7,–,30,–,3,–,2,5,1,24,–,1,–,2,2,1,31,1,1,2,2,3,–,34,1,1
MENDOTA UNIFIED,California,–,–,242,–,5,–,2,–,–,216,1,5,–,3,–,–,204,–,7,–,1,–,–,210,–,2,–,3
